start,Cmaj7,C-7,C-7b5,C7,Dbmaj7,Db-7,Db-7b5,Db7,Dmaj7,D-7,D-7b5,D7,Ebmaj7,Eb-7,Eb-7b5,Eb7,Emaj7,E-7,E-7b5,E7,Fmaj7,F-7,F-7b5,F7,Gbmaj7,Gb-7,Gb-7b5,Gb7,Gmaj7,G-7,G-7b5,G7,Abmaj7,Ab-7,Ab-7b5,Ab7,Amaj7,A-7,A-7b5,A7,Bbmaj7,Bb-7,Bb-7b5,Bb7,Bmaj7,B-7,B-7b5,B7
Cmaj7,0,0,0,0,0,0,0,0,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.05,0,0,0,0,0,0,0.1,0
C-7,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0.0,0.2,0,0.55,0,0,0,0,0,0.05,0,0.1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
C-7b5,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
C7,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
Dbmaj7,0,0,0.1,0,0,0,0,0,0,0.0,0,0.0,0,0.4,0,0.1,0,0,0,0,0.0,0,0,0,0.1,0,0,0,0,0,0,0.0,0,0,0,0.2,0,0.0,0,0.0,0,0.1,0,0.05,0,0,0.0,0
Db-7,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.1,0,0,0,0,0,0.0,0,0,0,0,0.2,0,0.55,0,0,0,0.0,0,0.05,0,0.1,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
Db-7b5,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
Db7,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.25,0.25,0,0.5,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
Dmaj7,0,0,0,0,0,0,0.1,0,0,0.0,0,0.0,0,0,0,0,0,0.4,0,0.1,0.0,0,0,0,0,0,0,0,0.1,0,0,0.0,0,0,0,0,0,0.0,0,0.2,0,0,0,0,0,0.1,0.0,0.05
D-7,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0.2,0,0.55,0,0,0,0,0,0.05,0,0.1,0,0,0,0,0,0,0.0,0
