GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coreachord,edu.brown.cs.student.coreachord,Main.GenerateChordsHandler,88,0,2,0,15,0,2,0,1,0
coreachord,edu.brown.cs.student.coreachord,Main,155,0,4,0,38,0,9,0,7,0
coreachord,edu.brown.cs.student.coreachord,Main.GenerateChordsHandler.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
coreachord,edu.brown.cs.student.coreachord,Main.ExceptionPrinter,26,0,0,0,8,0,1,0,1,0
coreachord,edu.brown.cs.student.coreachord.CoreaApp,GeneratedChord,3,18,0,0,1,6,1,3,1,3
coreachord,edu.brown.cs.student.coreachord.CoreaApp,Chord,19,49,5,5,1,11,6,5,1,5
coreachord,edu.brown.cs.student.coreachord.CoreaApp,MediumDiversityGenerator,57,0,4,0,11,0,4,0,2,0
coreachord,edu.brown.cs.student.coreachord.CoreaApp,CoreaApplication,28,240,5,23,7,57,5,18,2,7
coreachord,edu.brown.cs.student.coreachord.CoreaApp,TransitionMatrixGenerator,60,0,0,0,14,0,3,0,3,0
coreachord,edu.brown.cs.student.coreachord.CoreaApp,CoreaApplication.Diversity,0,34,0,0,0,2,0,1,0,1
coreachord,edu.brown.cs.student.coreachord.CoreaApp,CoreaApplication.Root,0,124,0,0,0,2,0,1,0,1
coreachord,edu.brown.cs.student.coreachord.CoreaApp,HighDiversityGenerator,57,0,4,0,11,0,4,0,2,0
coreachord,edu.brown.cs.student.coreachord.CoreaApp,CoreaApplication.Quality,0,44,0,0,0,2,0,1,0,1
coreachord,edu.brown.cs.student.coreachord.CoreaApp,TransitionMatrix,0,187,0,16,0,39,0,16,0,8
coreachord,edu.brown.cs.student.coreachord.CoreaApp,LowDiversityGenerator,57,0,4,0,11,0,4,0,2,0
coreachord,edu.brown.cs.student.coreachord.REPL,REPL,51,0,4,0,17,0,4,0,2,0
coreachord,edu.brown.cs.student.coreachord.Commands,GenerateChords,13,60,1,3,6,13,1,4,0,3
coreachord,edu.brown.cs.student.coreachord.DirectedGraph,Edge,21,0,0,0,8,0,4,0,4,0
coreachord,edu.brown.cs.student.coreachord.DirectedGraph,ChordNode,49,0,4,0,13,0,7,0,5,0
coreachord,edu.brown.cs.student.coreachord.UtilityObjects,Tuple,0,15,0,0,0,6,0,3,0,3
coreachord,edu.brown.cs.student.coreachord.CSV,CSVReader,4,37,0,2,2,12,0,3,0,2
